ID,Año,"Medicos_generales_especialistas_y_odontologos",Personal_medico_en_formacion,Medicos_en_otras_labores,Enfermeras_generales_y_especialistas,Pasantes_de_enfermeria,Auxiliares_de_enfermeria,Personal_de_enfermeria_en_otras_labores,Personal_profesional,Personal_tecnico,Otro_personal,TOTAL,ID_Estado
1,2012,146322,40172,17201,154269,14728,90825,17116,57394,65999,202756,806782,33
2,2013,152423,42294,17668,160539,16973,93128,17167,59194,68828,206070,834284,33
3,2014,159364,45417,18142,166266,19091,97048,18606,62075,70694,216192,872895,33
4,2015,170129,47873,23744,172049,21874,100726,20120,39288,83755,218320,897878,33
5,2016,171930,52953,15556,180633,26093,102915,18897,41627,112090,211422,934116,33
6,2017,173374,55660,15884,179167,28124,105578,24360,42027,112520,212920,949614,33
7,2018,174536,56690,17261,181386,29857,104853,18820,42755,115693,214391,956242,33
8,2019,176706,58400,15691,183875,28585,103092,19900,45170,117034,215248,963701,33
9,2020,180423,57362,16290,191731,26017,108073,20156,45527,120989,220422,986990,33
10,2021,183923,63710,17139,196423,24395,108521,23387,47779,121373,219675,1006325,33
11,2022,186851,67945,17113,201624,28083,108875,23418,48752,123791,223389,1029841,33
12,2023,191757,88347,18046,206888,26213,111042,24679,51024,122389,226308,1066693,33
13,2012,1903,402,238,1875,398,1139,223,842,829,2428,10277,1
14,2013,1937,447,237,1870,465,1159,230,828,845,2412,10430,1
15,2014,1988,476,243,1883,460,1153,249,812,851,2505,10620,1
16,2015,2069,487,336,1917,519,1265,244,477,962,2432,10708,1
17,2016,2082,633,195,2048,454,1146,244,504,1454,2619,11379,1
18,2017,2318,693,211,2237,458,1240,247,487,1516,2789,12196,1
19,2018,2311,601,222,2438,384,1378,254,461,1697,2872,12618,1
20,2019,2354,737,204,2690,558,1214,266,591,1644,3055,13313,1
21,2020,2442,670,212,2701,446,1443,261,617,1703,3030,13525,1
22,2021,2479,763,236,2695,388,1477,273,615,1722,3085,13733,1
23,2022,2532,805,220,2807,382,1359,299,642,1714,3074,13834,1
24,2023,2651,1010,231,2947,382,1450,288,672,1682,3114,14427,1
25,2012,3758,986,508,4199,288,2209,506,1443,1358,5238,20493,2
26,2013,3781,1057,515,4175,287,2212,497,1428,1350,5100,20402,2
27,2014,3795,1148,517,4147,397,2312,502,1416,1415,5274,20923,2
28,2015,4156,1240,751,4326,448,2351,555,642,1841,5316,21626,2
29,2016,4103,1466,419,4262,498,2367,559,704,2731,5060,22169,2
30,2017,4090,1574,442,4299,650,2442,523,701,2720,4983,22424,2
31,2018,3923,1575,446,4241,614,2328,508,623,2721,4753,21732,2
32,2019,4090,1651,448,4490,633,2263,517,700,2793,4970,22555,2
33,2020,4187,1797,462,4692,570,2409,530,743,2888,5051,23329,2
34,2021,4241,1763,477,4531,388,2659,553,760,2860,4990,23222,2
35,2022,4369,1489,448,4581,468,2651,552,773,2873,5057,23261,2
36,2023,4452,2716,434,4968,450,2574,646,848,2832,5281,25201,2
37,2012,1326,187,145,848,66,1097,111,459,487,1910,6636,3
38,2013,1347,198,155,909,62,1060,105,443,505,1888,6672,3
39,2014,1404,211,133,1247,84,771,78,512,476,1997,6913,3
40,2015,1507,197,243,1397,86,725,98,317,658,1905,7133,3
41,2016,1528,289,143,1382,111,925,85,290,897,2000,7650,3
42,2017,1523,286,136,1348,136,872,105,294,901,1951,7552,3
43,2018,1544,303,151,1382,135,849,110,295,956,1911,7636,3
44,2019,1605,347,133,1383,126,886,136,298,1042,1978,7934,3
45,2020,1703,253,138,1494,76,970,128,304,1075,2009,8150,3
46,2021,1668,341,165,1478,72,921,148,309,1066,1930,8098,3
47,2022,1600,413,153,1450,99,896,149,343,1039,1960,8102,3
48,2023,1757,430,149,1589,113,891,157,372,1080,2112,8650,3
49,2012,1523,329,165,1383,118,938,122,511,426,1493,7008,4
50,2013,1588,307,176,1434,92,1019,122,515,452,1561,7266,4
51,2014,1601,311,181,1406,87,1038,126,537,493,1690,7470,4
52,2015,1531,352,226,1501,82,1071,126,397,562,2026,7874,4
53,2016,1618,372,159,1534,148,993,139,442,787,2089,8281,4
54,2017,1582,404,147,1608,139,996,136,442,773,2075,8302,4
55,2018,1931,391,177,1638,145,1018,128,526,796,2048,8798,4
56,2019,1879,374,217,1636,147,1022,199,508,729,2075,8786,4
57,2020,1900,375,217,1730,130,1107,179,525,791,2142,9096,4
58,2021,1738,457,306,1647,121,1196,195,566,843,2052,9121,4
59,2022,1791,468,197,1962,158,1019,293,602,929,2119,9538,4
60,2023,1904,673,185,1949,152,1037,280,607,851,2024,9662,4
61,2012,4835,731,354,4369,623,3469,520,1313,1883,5167,23264,5
62,2013,5486,791,375,5542,705,3636,359,1639,2399,5885,26817,5
63,2014,5672,830,379,5871,812,3673,378,1656,2426,6178,27875,5
64,2015,5901,892,489,5978,1119,3552,400,1502,2603,6181,28617,5
65,2016,6349,1104,387,7150,1408,3733,397,1683,3112,6730,32053,5
66,2017,6705,1235,418,7546,1777,3770,394,1741,3178,6932,33696,5
