ID,ID_Institucion,total,Año
1,7,0,2012
2,8,12616,2012
3,1,317890,2012
4,2,24593,2012
5,3,63976,2012
6,10,11810,2012
7,11,360897,2012
8,12,10307,2012
9,13,3832,2012
10,14,553,2012
11,7,466,2013
12,8,13817,2013
13,1,321093,2013
14,2,25043,2013
15,3,67268,2013
16,9,540,2013
17,10,11810,2013
18,11,377019,2013
19,12,10307,2013
20,13,2801,2013
21,14,4120,2013
22,7,2187,2014
23,8,20806,2014
24,1,321078,2014
25,2,25034,2014
26,3,68665,2014
27,9,577,2014
28,10,11789,2014
29,11,404390,2014
30,12,10307,2014
31,13,2746,2014
32,14,5316,2014
33,7,1561,2015
34,8,21714,2015
35,1,325402,2015
36,2,25060,2015
37,3,70271,2015
38,9,513,2015
39,10,12207,2015
40,11,420114,2015
41,12,10307,2015
42,13,2746,2015
43,14,7983,2015
44,7,1561,2016
45,8,24361,2016
46,1,345295,2016
47,2,24996,2016
48,3,74139,2016
49,9,201,2016
50,10,11837,2016
51,11,430996,2016
52,12,10307,2016
53,13,2194,2016
54,14,8229,2016
55,7,1707,2017
56,8,21532,2017
57,1,342500,2017
58,2,25395,2017
59,3,79186,2017
60,9,201,2017
61,10,12208,2017
62,11,439383,2017
63,12,16899,2017
64,13,2180,2017
65,14,8423,2017
66,7,1707,2018
67,8,22419,2018
68,1,347923,2018
69,2,25077,2018
70,3,81537,2018
71,9,753,2018
72,10,13390,2018
73,11,444834,2018
74,12,11449,2018
75,13,921,2018
76,14,6232,2018
77,7,0,2019
78,8,21068,2019
79,1,357683,2019
80,2,22841,2019
81,3,74976,2019
82,9,835,2019
83,10,13146,2019
84,11,447639,2019
85,12,14661,2019
86,13,3760,2019
87,14,7092,2019
88,7,2915,2020
89,8,19994,2020
90,1,357692,2020
91,2,23957,2020
92,3,73710,2020
93,9,1087,2020
94,10,13069,2020
95,11,469823,2020
96,12,11249,2020
97,13,6315,2020
98,14,7179,2020
99,15,430,2021
100,7,3887,2021
101,8,23317,2021
102,1,360187,2021
103,2,23957,2021
104,3,76656,2021
105,9,2079,2021
106,10,10883,2021
107,11,478999,2021
108,12,12574,2021
109,13,5469,2021
110,14,7887,2021
111,15,430,2022
112,7,5733,2022
113,8,24131,2022
114,1,363455,2022
115,2,23852,2022
116,3,77353,2022
117,9,4107,2022
118,10,12511,2022
119,11,487987,2022
120,12,15851,2022
121,13,6839,2022
122,14,7592,2022
123,15,546,2023
124,7,7139,2023
125,8,24234,2023
126,1,391555,2023
127,2,25681,2023
128,3,78839,2023
129,9,4341,2023
130,10,11665,2023
131,11,492386,2023
132,12,16639,2023
133,13,6700,2023
134,14,6968,2023
