ID,ID_Estado,Porcentaje,Año
1,6,84.4,2020
2,3,83.2,2020
3,8,82.8,2020
4,24,82.5,2020
5,1,81.4,2020
6,26,81.2,2020
7,19,80.9,2020
8,25,80.9,2020
9,7,80.7,2020
10,32,79.7,2020
11,28,79.5,2020
12,22,79.1,2020
13,11,79.0,2020
14,31,78.0,2020
15,18,77.7,2020
16,4,77.5,2020
17,2,77.1,2020
18,10,74.6,2020
19,12,74.3,2020
20,23,73.5,2020
21,33,73.5,2020
22,9,72.6,2020
23,30,72.3,2020
24,17,71.9,2020
25,29,71.8,2020
26,21,70.6,2020
27,20,70.3,2020
28,14,69.9,2020
29,13,69.7,2020
30,27,68.5,2020
31,5,66.7,2020
32,15,66.3,2020
33,16,62.2,2020
