Año,Poblacion
1910,15160369
1911,15160369
1912,15160369
1913,15160369
1914,15160369
1915,15160369
1916,15160369
1917,15160369
1918,15160369
1919,15160369
1920,15160369
1921,14334780
1922,14334780
1923,14334780
1924,14334780
1925,14334780
1926,14334780
1927,14334780
1928,14334780
1929,14334780
1930,16552722
1931,16552722
1932,16552722
1933,16552722
1934,16552722
1935,16552722
1936,16552722
1937,16552722
1938,16552722
1939,16552722
1940,19653552
1941,19653552
1942,19653552
1943,19653552
1944,19653552
1945,19653552
1946,19653552
1947,19653552
1948,19653552
1949,19653552
1950,25791017
1951,25791017
1952,25791017
1953,25791017
1954,25791017
1955,25791017
1956,25791017
1957,25791017
1958,25791017
1959,25791017
1960,34923129
1961,34923129
1962,34923129
1963,34923129
1964,34923129
1965,34923129
1966,34923129
1967,34923129
1968,34923129
1969,34923129
1970,48225238
1971,48225238
1972,48225238
1973,48225238
1974,48225238
1975,48225238
1976,48225238
1977,48225238
1978,48225238
1979,48225238
1980,66846833
1981,66846833
1982,66846833
1983,66846833
1984,66846833
1985,66846833
1986,66846833
1987,66846833
1988,66846833
1989,66846833
1990,81249645
1991,81249645
1992,81249645
1993,81249645
1994,81249645
1995,91158290
1996,91158290
1997,91158290
1998,91158290
1999,91158290
2000,97483412
2001,97483412
2002,97483412
2003,97483412
2004,97483412
2005,103263388
2006,103263388
2007,103263388
2008,103263388
2009,103263388
2010,112336538
2011,112336538
2012,112336538
2013,112336538
2014,112336538
2015,119938473
2016,119938473
2017,119938473
2018,119938473
2019,119938473
2020,126014024
2021,126014024
2022,126014024
2023,126014024
2024,126014024
2025,126014024
