,Año,"Medicos generales, especialistas y odontologos",Personal medico en formacion,Medicos en otras labores,Enfermeras generales y especialistas,Pasantes de enfermeria,Auxiliares de enfermeria,Personal de enfermeria en otras labores,Personal profesional,Personal tecnico,Otro personal,TOTAL
0,"
									Año
								","
									Médicos generales, especialistas y Odontólogos
								","
									Personal médico en formación
								","
									Médicos en otras labores
								","
									Enfermeras generales y especialistas
								","
									Pasantes de enfermería
								","
									Auxiliares de enfermería
								","
									Personal de enfermería en otras labores
								","
									Personal profesional
								","
									Personal técnico
								","
									Otro personal
								","
									TOTAL
								"
1,"
2012
","
146,322
","
40,172
","
17,201
","
154,269
","
14,728
","
90,825
","
17,116
","
57,394
","
65,999
","
202,756
","
806,782
"
2,"
2013
","
152,423
","
42,294
","
17,668
","
160,539
","
16,973
","
93,128
","
17,167
","
59,194
","
68,828
","
206,070
","
834,284
"
3,"
2014
","
159,364
","
45,417
","
18,142
","
166,266
","
19,091
","
97,048
","
18,606
","
62,075
","
70,694
","
216,192
","
872,895
"
4,"
2015
","
170,129
","
47,873
","
23,744
","
172,049
","
21,874
","
100,726
","
20,120
","
39,288
","
83,755
","
218,320
","
897,878
"
5,"
2016
","
171,930
","
52,953
","
15,556
","
180,633
","
26,093
","
102,915
","
18,897
","
41,627
","
112,090
","
211,422
","
934,116
"
6,"
2017
","
173,374
","
55,660
","
15,884
","
179,167
","
28,124
","
105,578
","
24,360
","
42,027
","
112,520
","
212,920
","
949,614
"
7,"
2018
","
174,536
","
56,690
","
17,261
","
181,386
","
29,857
","
104,853
","
18,820
","
42,755
","
115,693
","
214,391
","
956,242
"
8,"
2019
","
176,706
","
58,400
","
15,691
","
183,875
","
28,585
","
103,092
","
19,900
","
45,170
","
117,034
","
215,248
","
963,701
"
9,"
2020
","
180,423
","
57,362
","
16,290
","
191,731
","
26,017
","
108,073
","
20,156
","
45,527
","
120,989
","
220,422
","
986,990
"
10,"
2021
","
183,923
","
63,710
","
17,139
","
196,423
","
24,395
","
108,521
","
23,387
","
47,779
","
121,373
","
219,675
","
1,006,325
"
11,"
2022
","
186,851
","
67,945
","
17,113
","
201,624
","
28,083
","
108,875
","
23,418
","
48,752
","
123,791
","
223,389
","
1,029,841
"
12,"
2023
","
191,757
","
88,347
","
18,046
","
206,888
","
26,213
","
111,042
","
24,679
","
51,024
","
122,389
","
226,308
","
1,066,693
"
13,"
									Año
								","
									Médicos generales, especialistas y Odontólogos
								","
									Personal médico en formación
								","
									Médicos en otras labores
								","
									Enfermeras generales y especialistas
								","
									Pasantes de enfermería
								","
									Auxiliares de enfermería
								","
									Personal de enfermería en otras labores
								","
									Personal profesional
								","
									Personal técnico
								","
									Otro personal
								","
									TOTAL
								"
14,"
2012
","
1,903
","
402
","
238
","
1,875
","
398
","
1,139
","
223
","
842
","
829
","
2,428
","
10,277
"
15,"
2013
","
1,937
","
447
","
237
","
1,870
","
465
","
1,159
","
230
","
828
","
845
","
2,412
","
10,430
"
16,"
2014
","
1,988
","
476
","
243
","
1,883
","
460
","
1,153
","
249
","
812
","
851
","
2,505
","
10,620
"
17,"
2015
","
2,069
","
487
","
336
","
1,917
","
519
","
1,265
","
244
","
477
","
962
","
2,432
","
10,708
"
18,"
2016
","
2,082
","
633
","
195
","
2,048
","
454
","
1,146
","
244
","
504
","
1,454
","
2,619
","
11,379
"
19,"
2017
","
2,318
","
693
","
211
","
2,237
","
458
","
1,240
","
247
","
487
","
1,516
","
2,789
","
12,196
"
20,"
2018
","
2,311
","
601
","
222
","
2,438
","
384
","
1,378
","
254
","
461
","
1,697
","
2,872
","
12,618
"
21,"
2019
","
2,354
","
737
","
204
","
2,690
","
558
","
1,214
","
266
","
591
","
1,644
","
3,055
","
13,313
"
22,"
2020
","
2,442
","
670
","
212
","
2,701
","
446
","
1,443
","
261
","
617
","
1,703
","
3,030
","
13,525
"
23,"
2021
","
2,479
","
763
","
236
","
2,695
","
388
","
1,477
","
273
","
615
","
1,722
","
3,085
","
13,733
"
24,"
2022
","
2,532
","
805
","
220
","
2,807
","
382
","
1,359
","
299
","
642
","
1,714
","
3,074
","
13,834
"
25,"
2023
","
2,651
","
1,010
","
231
","
2,947
","
382
","
1,450
","
288
","
672
","
1,682
","
3,114
","
14,427
"
26,"
									Año
								","
									Médicos generales, especialistas y Odontólogos
								","
									Personal médico en formación
								","
									Médicos en otras labores
								","
									Enfermeras generales y especialistas
								","
									Pasantes de enfermería
								","
									Auxiliares de enfermería
								","
									Personal de enfermería en otras labores
								","
									Personal profesional
								","
									Personal técnico
								","
									Otro personal
								","
									TOTAL
								"
27,"
2012
","
3,758
","
986
","
508
","
4,199
","
288
","
2,209
","
506
","
1,443
","
1,358
","
5,238
","
20,493
"
28,"
2013
","
3,781
","
1,057
","
515
","
4,175
","
287
","
2,212
","
497
","
1,428
","
1,350
","
5,100
","
20,402
"
29,"
2014
","
3,795
","
1,148
","
517
","
4,147
","
397
","
2,312
","
502
","
1,416
","
1,415
","
5,274
","
20,923
"
30,"
2015
","
4,156
","
1,240
","
751
","
4,326
","
448
","
2,351
","
555
","
642
","
1,841
","
5,316
","
21,626
"
31,"
2016
","
4,103
","
1,466
","
419
","
4,262
","
498
","
2,367
","
559
","
704
","
2,731
","
5,060
","
22,169
"
32,"
2017
","
4,090
","
1,574
","
442
","
4,299
","
650
","
2,442
","
523
","
701
","
2,720
","
4,983
","
22,424
"
33,"
2018
","
3,923
","
1,575
","
446
","
4,241
","
614
","
2,328
","
508
","
623
","
2,721
","
4,753
","
21,732
"
34,"
2019
","
4,090
","
1,651
","
448
","
4,490
","
633
","
2,263
","
517
","
700
","
2,793
","
4,970
","
22,555
"
35,"
2020
","
4,187
","
1,797
","
462
","
4,692
","
570
","
2,409
","
530
","
743
","
2,888
","
5,051
","
23,329
"
36,"
2021
","
4,241
","
1,763
","
477
","
4,531
","
388
","
2,659
","
553
","
760
","
2,860
","
4,990
","
23,222
"
37,"
2022
","
4,369
","
1,489
","
448
","
4,581
","
468
","
2,651
","
552
","
773
","
2,873
","
5,057
","
23,261
"
38,"
2023
","
4,452
","
2,716
","
434
","
4,968
","
450
","
2,574
","
646
","
848
","
2,832
","
5,281
","
25,201
"
39,"
									Año
								","
									Médicos generales, especialistas y Odontólogos
								","
									Personal médico en formación
								","
									Médicos en otras labores
								","
									Enfermeras generales y especialistas
								","
									Pasantes de enfermería
								","
									Auxiliares de enfermería
								","
									Personal de enfermería en otras labores
								","
									Personal profesional
								","
									Personal técnico
								","
									Otro personal
								","
									TOTAL
								"
40,"
2012
","
1,326
","
187
","
145
","
848
","
66
","
1,097
","
111
","
459
","
487
","
1,910
","
6,636
"
41,"
2013
","
1,347
","
198
","
155
","
909
","
62
","
1,060
","
105
","
443
","
505
","
1,888
","
6,672
"
42,"
2014
","
1,404
","
211
","
133
","
1,247
","
84
","
771
","
78
","
512
","
476
","
1,997
","
6,913
"
43,"
2015
","
1,507
","
197
","
243
","
1,397
","
86
","
725
","
98
","
317
","
658
","
1,905
","
7,133
"
44,"
2016
","
1,528
","
289
","
143
","
1,382
","
111
","
925
","
85
","
290
","
897
","
2,000
","
7,650
"
45,"
2017
","
1,523
","
286
","
136
","
1,348
","
136
","
872
","
105
","
294
","
901
","
1,951
","
7,552
"
46,"
2018
","
1,544
","
303
","
151
","
1,382
","
135
","
849
","
110
","
295
","
956
","
1,911
","
7,636
"
47,"
2019
","
1,605
","
347
","
133
","
1,383
","
126
","
886
","
136
","
298
","
1,042
","
1,978
","
7,934
"
48,"
2020
","
1,703
","
253
","
138
","
1,494
","
76
","
970
","
128
","
304
","
1,075
","
2,009
","
8,150
"
