Año,Poblacion
1910,"15,160,369"
1911,"15,160,369"
1912,"15,160,369"
1913,"15,160,369"
1914,"15,160,369"
1915,"15,160,369"
1916,"15,160,369"
1917,"15,160,369"
1918,"15,160,369"
1919,"15,160,369"
1920,"15,160,369"
1921,"14,334,780"
1922,"14,334,780"
1923,"14,334,780"
1924,"14,334,780"
1925,"14,334,780"
1926,"14,334,780"
1927,"14,334,780"
1928,"14,334,780"
1929,"14,334,780"
1930,"16,552,722"
1931,"16,552,722"
1932,"16,552,722"
1933,"16,552,722"
1934,"16,552,722"
1935,"16,552,722"
1936,"16,552,722"
1937,"16,552,722"
1938,"16,552,722"
1939,"16,552,722"
1940,"19,653,552"
1941,"19,653,552"
1942,"19,653,552"
1943,"19,653,552"
1944,"19,653,552"
1945,"19,653,552"
1946,"19,653,552"
1947,"19,653,552"
1948,"19,653,552"
1949,"19,653,552"
1950,"25,791,017"
1951,"25,791,017"
1952,"25,791,017"
1953,"25,791,017"
1954,"25,791,017"
1955,"25,791,017"
1956,"25,791,017"
1957,"25,791,017"
1958,"25,791,017"
1959,"25,791,017"
1960,"34,923,129"
1961,"34,923,129"
1962,"34,923,129"
1963,"34,923,129"
1964,"34,923,129"
1965,"34,923,129"
1966,"34,923,129"
1967,"34,923,129"
1968,"34,923,129"
1969,"34,923,129"
1970,"48,225,238"
1971,"48,225,238"
1972,"48,225,238"
1973,"48,225,238"
1974,"48,225,238"
1975,"48,225,238"
1976,"48,225,238"
1977,"48,225,238"
1978,"48,225,238"
1979,"48,225,238"
1980,"66,846,833"
1981,"66,846,833"
1982,"66,846,833"
1983,"66,846,833"
1984,"66,846,833"
1985,"66,846,833"
1986,"66,846,833"
1987,"66,846,833"
1988,"66,846,833"
1989,"66,846,833"
1990,"81,249,645"
1991,"81,249,645"
1992,"81,249,645"
1993,"81,249,645"
1994,"81,249,645"
1995,"91,158,290"
1996,"91,158,290"
1997,"91,158,290"
1998,"91,158,290"
1999,"91,158,290"
2000,"97,483,412"
2001,"97,483,412"
2002,"97,483,412"
2003,"97,483,412"
2004,"97,483,412"
2005,"103,263,388"
2006,"103,263,388"
2007,"103,263,388"
2008,"103,263,388"
2009,"103,263,388"
2010,"112,336,538"
2011,"112,336,538"
2012,"112,336,538"
2013,"112,336,538"
2014,"112,336,538"
2015,"119,938,473"
2016,"119,938,473"
2017,"119,938,473"
2018,"119,938,473"
2019,"119,938,473"
2020,"126,014,024"
2021,"126,014,024"
2022,"126,014,024"
2023,"126,014,024"
2024,"126,014,024"
2025,"126,014,024"
